사업장명,WGS84위도,WGS84경도,소재지도로명주소,소재지우편번호
가일미술관,37.66041258,127.379434,경기도 가평군 청평면 북한강로 1549-0,12458
일지미술관,37.83281495,127.3453799,경기도 가평군 하면 운악청계로 140,12435
남송미술관,37.90451325,127.4722675,경기도 가평군 북면 백둔로 322-0,12406
설미재 미술관,37.66088748,127.4822336,경기도 가평군 설악면 유명로 1454-38,12467
남송미술관,37.90451325,127.4722675,경기도 가평군 북면 백둔로 322-0,12406
가일미술관,37.66041258,127.379434,경기도 가평군 청평면 북한강로 1549-0,12458
일지미술관,37.83281495,127.3453799,경기도 가평군 하면 운악청계로 140,12435
설미재 미술관,37.66088748,127.4822336,경기도 가평군 설악면 유명로 1454-38,12467
목암미술관,37.71837277,126.921677,경기도 고양시 덕양구 호국로 1963 (벽제동),10268
포마자동차디자인미술관,37.59181685,126.8964692,경기도 고양시 덕양구 향뫼로 91 (향동동),10546
아람미술관,37.66130853,126.7731875,경기도 고양시 일산동구 중앙로 1286 (마두동),10409
목암미술관,37.71837277,126.921677,경기도 고양시 덕양구 호국로 1963  (벽제동),10268
아람미술관,37.66130853,126.7731875,경기도 고양시 일산동구 중앙로 1286 (마두동),10409
포마자동차디자인미술관,37.59181685,126.8964692,경기도 고양시 덕양구 향뫼로 91 (향동동),10546
포마자동차디자인미술관,37.59181685,126.8964692,경기도 고양시 덕양구 향뫼로 91 (향동동),10546
아람미술관,37.66147851,126.7744443,경기도 고양시 일산동구 중앙로 1286,10409
목암미술관,37.71837277,126.921677,경기도 고양시 덕양구 호국로 1963 (벽제동),10268
선바위미술관,37.45176764,126.9992832,경기도 과천시 무네미길 34 (과천동),13813
가원미술관,37.4239602,126.9992198,경기도 과천시 새빛로 24 (문원동),13826
선바위미술관,37.45176764,126.9992832,경기도 과천시 무네미길 34 (과천동),13813
가원미술관,37.4239602,126.9992198,경기도 과천시 새빛로 24 (문원동),13826
닻미술관,37.38034329,127.2711197,경기도 광주시 초월읍 진새골길 184,12735
영은미술관,37.41355454,127.2687473,경기도 광주시 청석로 300 (쌍령동),12791
닻미술관,37.38034329,127.2711197,경기도 광주시 초월읍 진새골길 184,12735
영은미술관,37.41355454,127.2687473,경기도 광주시 청석로 300 (쌍령동),12791
보름산미술관,37.5963726,126.7608946,경기도 김포시 고촌읍 수기로 100-78,10129
CICA미술관,37.60819939,126.5977792,경기도 김포시 양촌읍 삼도로 196-30,10049
보름산미술관,37.5963726,126.7608946,경기도 김포시 고촌읍 수기로 100-78,10129
보름산미술관,37.5963726,126.7608946,경기도 김포시 고촌읍 수기로 100-78,10129
보름산미술관,37.5963726,126.7608946,경기도 김포시 고촌읍 수기로 100-78,10129
CICA미술관,37.60819939,126.5977792,경기도 김포시 양촌읍 삼도로 196-30,10049
CICA미술관,37.60819939,126.5977792,경기도 김포시 양촌읍 삼도로 196-30,10049
보름산미술관,37.5963726,126.7608946,경기도 김포시 고촌읍 수기로 100-78,10129
서호미술관,37.63270947,127.3514962,경기도 남양주시 화도읍 북한강로 1344,12193
현대어린이책미술관 MOKA GARDEN,37.61610291,127.1524431,경기도 남양주시 다산순환로 50-0 (다산동,현대프리미엄아울렛SPACE1),12248
서호미술관,37.63270947,127.3514962,경기도 남양주시 화도읍 북한강로 1344,12193
모란미술관,37.65040978,127.3237779,경기도 남양주시 화도읍 경춘로 2110-8,12190
현대어린이책미술관 MOKA GARDEN,37.61610291,127.1524431,경기도 남양주시 다산순환로 50-0  (다산동,현대프리미엄아울렛SPACE1),12248
서호미술관,37.63270947,127.3514962,경기도 남양주시 화도읍 북한강로 1344,12193
서호미술관,37.63270947,127.3514962,경기도 남양주시 화도읍 북한강로 1344,12193
모란미술관,37.65040978,127.3237779,경기도 남양주시 화도읍 경춘로 2110-8,12190
모란미술관,37.65040978,127.3237779,경기도 남양주시 화도읍 경춘로 2110-8,12190
서호미술관,37.63270947,127.3514962,경기도 남양주시 화도읍 북한강로 1344,12193
성남아트센터 큐브미술관,37.4024597,127.1307557,경기도 성남시 분당구 성남대로 808 (수내동),13514
현대어린이책미술관 MOKA,37.39278226,127.1120949,경기도 성남시 분당구 판교역로146번길 20 (백현동),13529
미누현대미술관,37.44466645,127.1499931,경기도 성남시 수정구 공원로 360 (신흥동),13269
성남아트센터 큐브미술관,37.4024597,127.1307557,경기도 성남시 분당구 성남대로 808  (수내동),13514
미누현대미술관,37.44466645,127.1499931,경기도 성남시 수정구 공원로 360  (신흥동),13269
현대어린이책미술관 MOKA,37.39278226,127.1120949,경기도 성남시 분당구 판교역로146번길 20  (백현동),13529
미누현대미술관,37.44466645,127.1499931,경기도 성남시 수정구 공원로 360 (신흥동),13269
현대어린이책미술관 MOKA,37.39278226,127.1120949,경기도 성남시 분당구 판교역로146번길 20 (백현동),13529
성남아트센터 큐브미술관,37.40295481,127.1305499,경기도 성남시 분당구 성남대로 808 (수내동),13514
해움미술관,37.27226048,127.0150134,경기도 수원시 팔달구 매산로 133 (교동),16463
수원시립아이파크미술관,37.28279165,127.0157242,경기도 수원시 팔달구 정조로 833-0 (신풍동,수원시립아아파크미술관),16252
해움미술관,37.27226048,127.0150134,경기도 수원시 팔달구 매산로 133  (교동),16463
수원시립아이파크미술관,37.28279165,127.0157242,경기도 수원시 팔달구 정조로 833-0  (신풍동,수원시립아아파크미술관),16252
수원시립아이파크미술관,37.28279165,127.0157242,경기도 수원시 팔달구 정조로 833-0 (신풍동,수원시립아아파크미술관),16252
해움미술관,37.27226048,127.0150134,경기도 수원시 팔달구 매산로 133 (교동),16463
소전미술관,37.45195756,126.7855179,경기도 시흥시 소래산길 41-0,14902
소전미술관,37.45195756,126.7855179,경기도 시흥시 소래산길 41-0 (대야동,소전미술관),14902
소전미술관,37.45195756,126.7855179,경기도 시흥시 소래산길 41-0,14902
종이미술관,37.22451596,126.575983,경기도 안산시 단원구 대남로 233 (대부남동),15649
맥아트미술관,37.21978853,126.6023926,경기도 안산시 단원구 부흥로 254 (대부남동),15650
김홍도미술관,37.31632958,126.8513352,경기도 안산시 상록구 충장로 422 (성포동),15294
유리섬미술관,37.21978853,126.6023926,경기도 안산시 단원구 부흥로 254 (대부남동),15650
종이미술관,37.22451596,126.575983,경기도 안산시 단원구 대남로 233  (대부남동),15649
김홍도미술관,37.31632958,126.8513352,경기도 안산시 상록구 충장로 422  (성포동),15294
유리섬미술관,37.21978853,126.6023926,경기도 안산시 단원구 부흥로 254 (대부남동),15650
맥아트미술관,37.21978853,126.6023926,경기도 안산시 단원구 부흥로 254 (대부남동),15650
유리섬미술관,37.21978853,126.6023926,경기도 안산시 단원구 부흥로 254 (대부남동),15650
종이미술관,37.22451596,126.575983,경기도 안산시 단원구 대남로 233 (대부남동),15649
단원미술관,37.31605239,126.8517439,경기도 안산시 상록구 충장로 422 (성포동),15294
정문규미술관,37.20532484,126.6442704,경기도 안산시 단원구 대부황금로 153-9 (선감동),15652
맥아트미술관,37.21978853,126.6023926,경기도 안산시 단원구 부흥로 254 (대부남동),15650
양주시립장욱진미술관,37.73281782,126.9492554,경기도 양주시 장흥면 권율로 211,11519
안상철미술관,37.77839706,126.9569459,경기도 양주시 백석읍 권율로 905,11518
양주시립민복진미술관,37.73114174,126.9493359,경기도 양주시 장흥면 권율로 192-0, 1동 (양주시립민복진미술관),11519
안상철미술관,37.77839706,126.9569459,경기도 양주시 백석읍 권율로 905,11518
양주시립장욱진미술관,37.73281782,126.9492554,경기도 양주시 장흥면 권율로 211,11519
바탕골미술관,37.4888095,127.3964687,경기도 양평군 강하면 강남로 50,12574
이함미술관,37.50200173,127.4256458,경기도 양평군 강하면 강남로 370-18,12575
바탕골미술관,37.48871444,127.396436,경기도 양평군 강하면 강남로 50,12574
바탕골미술관,37.4888095,127.3964687,경기도 양평군 강하면 강남로 50,12574
바탕골미술관,37.48871444,127.396436,경기도 양평군 강하면 강남로 50,12574
경기생활도자미술관,37.3001409,127.6545498,경기도 여주시 신륵사길 7-0 (천송동),12636
죽포미술관,37.41003508,127.4426415,경기도 여주시 산북면 고촌길 26-10,12600
어우재미술관,37.14675502,127.6756099,경기도 여주시 점동면 어우실길 261-0 (어우재미술관),12668
여주미술관,37.26479154,127.637064,경기도 여주시 세종로 394-36 (점봉동),12653
여주시 미술관 아트뮤지엄 려,37.23803201,127.6078605,경기도 여주시 명품로 370-0 (상거동),12646
여주미술관테마파트&갤러리,37.26479154,127.637064,경기도 여주시 세종로 394-36 (점봉동),12653
죽포미술관,37.41003508,127.4426415,경기도 여주시 산북면 고촌길 26-10, 죽포미술관,12600
어우재미술관,37.14675502,127.6756099,경기도 여주시 점동면 어우실길 261-0 (어우재미술관),12668
죽포미술관,37.41003508,127.4426415,경기도 여주시 산북면 고촌길 26-10,12600
오산시립미술관,37.16036374,127.0770314,경기도 오산시 현충로 100-0, 101동 (은계동,오산문화재단),18131
오산시립미술관,37.16025573,127.077077,경기도 오산시 현충로 100-0, 101동 (은계동,오산문화재단),18131
아모레퍼시픽미술관,37.16531071,127.0402516,경기도 오산시 가장산업동로 37 (가장동),18103
아모레퍼시픽미술관,37.16529167,127.0376724,경기도 오산시 가장산업동로 37 (가장동),18103
근현대사미술관담다,37.27495314,127.1466859,경기도 용인시 기흥구 어정로 134-24,16995
호암미술관,37.29321665,127.1923281,경기도 용인시 처인구 포곡읍 에버랜드로562번길 38,17021
한국미술관,37.30897189,127.1319469,경기도 용인시 기흥구 마북로 244-2 (마북동),16891
안젤리미술관,37.18451212,127.2313113,경기도 용인시 처인구 이동면 이원로 244,17132
마가미술관,37.33177038,127.1927917,경기도 용인시 처인구 모현면 문형동림로101번길 37,16888
이영미술관,37.27731264,127.0900943,경기도 용인시 기흥구 흥덕4로 63 (영덕동),16949
마가미술관,37.33177038,127.1927917,경기도 용인시 처인구 모현면 문형동림로101번길 37,16888
한국미술관,37.30897189,127.1319469,경기도 용인시 기흥구 마북로 244-2  (마북동),16891
안젤리미술관,37.18451212,127.2313113,경기도 용인시 처인구 이동면 이원로 244,17132
근현대사미술관담다,37.27718536,127.1366814,경기도 용인시 기흥구 강남동로140번길 1-6,16982
호암미술관,37.29321665,127.1923281,경기도 용인시 처인구 포곡읍 에버랜드로562번길 38,17021
이영미술관,37.27731264,127.0900943,경기도 용인시 기흥구 흥덕4로 63 (영덕동),16949
안젤리미술관,37.18451212,127.2313113,경기도 용인시 처인구 이동면 이원로 244,17132
마가미술관,37.33177038,127.1927917,경기도 용인시 처인구 모현면 문형동림로101번길 37,16888
한국미술관,37.30897189,127.1319469,경기도 용인시 기흥구 마북로 244-2 (마북동),16891
호암미술관,37.29321665,127.1923281,경기도 용인시 처인구 포곡읍 에버랜드로562번길 38,17021
이영미술관,37.27731264,127.0900943,경기도 용인시 기흥구 흥덕4로 63  (영덕동),16949
KUMA 계원예술대학교 미술관,37.37921274,126.9796605,경기도 의왕시 계원대학로 66 (내손동),16038
KUMA 계원예술대학교 미술관,37.37947459,126.9818161,경기도 의왕시 계원대학로 66 (내손동),16038
백영수미술관,37.71366543,127.0444635,경기도 의정부시 안말로58번안길 55-1 (호원동,백영수미술관),11643
백영수미술관,37.71366543,127.0444635,경기도 의정부시 안말로58번안길 55-1 (호원동,백영수미술관),11643
이천시립 월전미술관,37.28017033,127.4240484,경기도 이천시 경충대로2709번길 185 (관고동),17379
경기도자미술관,37.27406904,127.425927,경기도 이천시 경충대로2697번길 167-29 (관고동),17379
이천시립 월전미술관,37.28017033,127.4240484,경기도 이천시 경충대로2709번길 185 (관고동),17379
한향림도자미술관,37.78898212,126.7011837,경기도 파주시 탄현면 헤이리마을길 82-37,10859
불루메미술관,37.7892756,126.6966263,경기도 파주시 탄현면 헤이리마을길 59-30,10859
콩세유미술관,37.73897616,126.8790011,경기도 파주시 광탄면 세류길 7-0,10955
콩세유미술관,37.73897616,126.8790011,경기도 파주시 광탄면 세류길 7-0,10955
불루메미술관,37.7892756,126.6966263,경기도 파주시 탄현면 헤이리마을길 59-30,10859
한향림도자미술관,37.78898212,126.7011837,경기도 파주시 탄현면 헤이리마을길 82-37,10859
기산미술관,37.77376914,126.9164767,경기도 파주시 광탄면 기산로186번길 59,10953
불루메미술관,37.7892756,126.6966263,경기도 파주시 탄현면 헤이리마을길 59-30,10859
기산미술관,37.77376914,126.9164767,경기도 파주시 광탄면 기산로186번길 59,10953
정문규미술관,37.80119394,126.6878871,경기도 파주시 탄현면 새오리로 199-0,10858
소다미술관,37.20162602,127.0060676,경기도 화성시 효행로707번길 30-0 (안녕동),18362
엄미술관,37.20553199,126.979379,경기도 화성시 봉담읍 오궁길 37,18327
엄미술관,37.20553199,126.979379,경기도 화성시 봉담읍 오궁길 37,18327
소다미술관,37.20162602,127.0060676,경기도 화성시 효행로707번길 30-0 (안녕동),18362
엄미술관,37.20553199,126.979379,경기도 화성시 봉담읍 오궁길 37,18327s